"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 23 07:31:49 MSK 2020","Mon Nov 23 07:31:54 MSK 2020","4782","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[17] Price imp. (amount)",""
"passed","Mon Nov 23 07:31:00 MSK 2020","Mon Nov 23 07:31:05 MSK 2020","5181","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[7] Information ratio",""
"passed","Mon Nov 23 07:27:32 MSK 2020","Mon Nov 23 07:27:37 MSK 2020","4784","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[1] Avg fill price",""
"passed","Mon Nov 23 07:26:27 MSK 2020","Mon Nov 23 07:26:32 MSK 2020","5571","","academy.Tests.GridFilterTest","","academy.Tests.GridFilterTest","testColumnAppearColumnsButton","testColumnAppearColumnsButton()",""
"passed","Mon Nov 23 07:33:24 MSK 2020","Mon Nov 23 07:33:33 MSK 2020","9360","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[10] Multiplier",""
"passed","Mon Nov 23 07:28:16 MSK 2020","Mon Nov 23 07:28:21 MSK 2020","5091","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[10] Multiplier",""
"passed","Mon Nov 23 07:26:59 MSK 2020","Mon Nov 23 07:27:11 MSK 2020","11720","","academy.Tests.GridSortTest","","academy.Tests.GridSortTest","testColumnSort","[3] Num of executions",""
"passed","Mon Nov 23 07:27:37 MSK 2020","Mon Nov 23 07:27:42 MSK 2020","4758","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[2] Exec size",""
"passed","Mon Nov 23 07:28:26 MSK 2020","Mon Nov 23 07:28:31 MSK 2020","4773","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[12] Currency code",""
"passed","Mon Nov 23 07:32:36 MSK 2020","Mon Nov 23 07:32:46 MSK 2020","9356","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[5] Size",""
